t_ms,condition,mode,band,f_lo,f_hi,energyN,threshold,hysteresis,cooldown_ms
85333,baseline,FILE,2,800.00,3000.00,0.042929,31.243,1.150,120
85334,baseline,FILE,4,8000.00,20000.00,0.049947,9.749,1.150,120
85550,baseline,FILE,2,800.00,3000.00,0.032110,31.243,1.150,120
85749,baseline,FILE,1,200.00,800.00,0.051664,117.551,1.150,120
85749,baseline,FILE,4,8000.00,20000.00,0.058142,9.749,1.150,120
86165,baseline,FILE,0,0.00,200.00,0.215901,9.703,1.150,120
86217,baseline,FILE,4,8000.00,20000.00,0.041162,9.749,1.150,120
86432,baseline,FILE,1,200.00,800.00,0.013516,117.551,1.150,120
86634,baseline,FILE,1,200.00,800.00,0.177731,117.551,1.150,120
86634,baseline,FILE,2,800.00,3000.00,0.247633,31.243,1.150,120
86635,baseline,FILE,4,8000.00,20000.00,0.246227,9.749,1.150,120
86850,baseline,FILE,1,200.00,800.00,0.216913,117.551,1.150,120
86850,baseline,FILE,2,800.00,3000.00,0.335235,31.243,1.150,120
86850,baseline,FILE,4,8000.00,20000.00,0.341376,9.749,1.150,120
86999,baseline,FILE,2,800.00,3000.00,0.225377,31.243,1.150,120
87050,baseline,FILE,4,8000.00,20000.00,0.147173,9.749,1.150,120
87317,baseline,FILE,2,800.00,3000.00,0.122464,31.243,1.150,120
87367,baseline,FILE,4,8000.00,20000.00,0.008013,9.749,1.150,120
87667,baseline,FILE,0,0.00,200.00,0.442184,9.703,1.150,120
87716,baseline,FILE,1,200.00,800.00,0.018957,117.551,1.150,120
87716,baseline,FILE,4,8000.00,20000.00,0.071496,9.749,1.150,120
88349,baseline,FILE,0,0.00,200.00,0.213444,9.703,1.150,120
88500,baseline,FILE,4,8000.00,20000.00,0.008169,9.749,1.150,120
88599,baseline,FILE,2,800.00,3000.00,0.052006,31.243,1.150,120
88633,baseline,FILE,4,8000.00,20000.00,0.499140,9.749,1.150,120
88667,baseline,FILE,1,200.00,800.00,0.077988,117.551,1.150,120
88766,baseline,FILE,2,800.00,3000.00,0.201184,31.243,1.150,120
88800,baseline,FILE,1,200.00,800.00,0.344991,117.551,1.150,120
88816,baseline,FILE,4,8000.00,20000.00,0.359528,9.749,1.150,120
88916,baseline,FILE,2,800.00,3000.00,0.180665,31.243,1.150,120
88934,baseline,FILE,1,200.00,800.00,0.163682,117.551,1.150,120
88951,baseline,FILE,4,8000.00,20000.00,0.241881,9.749,1.150,120
89083,baseline,FILE,1,200.00,800.00,0.077046,117.551,1.150,120
89083,baseline,FILE,2,800.00,3000.00,0.172557,31.243,1.150,120
89083,baseline,FILE,4,8000.00,20000.00,0.386411,9.749,1.150,120
89334,baseline,FILE,3,3000.00,8000.00,0.064421,26.532,1.150,120
89334,baseline,FILE,4,8000.00,20000.00,0.105689,9.749,1.150,120
89384,baseline,FILE,2,800.00,3000.00,0.092192,31.243,1.150,120
89534,baseline,FILE,1,200.00,800.00,0.043343,117.551,1.150,120
89535,baseline,FILE,2,800.00,3000.00,0.158018,31.243,1.150,120
89535,baseline,FILE,3,3000.00,8000.00,0.106629,26.532,1.150,120
89535,baseline,FILE,4,8000.00,20000.00,0.395900,9.749,1.150,120
89700,baseline,FILE,4,8000.00,20000.00,0.268523,9.749,1.150,120
89950,baseline,FILE,4,8000.00,20000.00,0.499678,9.749,1.150,120
90167,baseline,FILE,4,8000.00,20000.00,0.145536,9.749,1.150,120
90299,baseline,FILE,4,8000.00,20000.00,0.142246,9.749,1.150,120
90418,baseline,FILE,1,200.00,800.00,0.077717,117.551,1.150,120
90418,baseline,FILE,3,3000.00,8000.00,0.156442,26.532,1.150,120
91466,baseline,FILE,0,0.00,200.00,0.148354,9.703,1.150,120
91466,baseline,FILE,1,200.00,800.00,0.042635,117.551,1.150,120
91466,baseline,FILE,2,800.00,3000.00,0.175496,31.243,1.150,120
91467,baseline,FILE,4,8000.00,20000.00,0.104884,9.749,1.150,120
91966,baseline,FILE,2,800.00,3000.00,0.259877,31.243,1.150,120
92233,baseline,FILE,2,800.00,3000.00,0.241646,31.243,1.150,120
92233,baseline,FILE,3,3000.00,8000.00,0.121168,26.532,1.150,120
92282,baseline,FILE,4,8000.00,20000.00,0.023438,9.749,1.150,120
92499,baseline,FILE,4,8000.00,20000.00,0.010323,9.749,1.150,120
92752,baseline,FILE,2,800.00,3000.00,0.454087,31.243,1.150,120
92752,baseline,FILE,3,3000.00,8000.00,0.345293,26.532,1.150,120
92752,baseline,FILE,4,8000.00,20000.00,0.043594,9.749,1.150,120
93018,baseline,FILE,2,800.00,3000.00,0.236667,31.243,1.150,120
93018,baseline,FILE,3,3000.00,8000.00,0.108158,26.532,1.150,120
93316,baseline,FILE,3,3000.00,8000.00,0.045959,26.532,1.150,120
93420,MARK,mark-5
93583,baseline,FILE,2,800.00,3000.00,0.280681,31.243,1.150,120
93584,baseline,FILE,3,3000.00,8000.00,0.079307,26.532,1.150,120
93634,baseline,FILE,4,8000.00,20000.00,0.004937,9.749,1.150,120
93783,baseline,FILE,3,3000.00,8000.00,0.111217,26.532,1.150,120
93916,baseline,FILE,3,3000.00,8000.00,0.087886,23.879,1.150,120
93949,baseline,FILE,4,8000.00,20000.00,0.014297,9.749,1.150,120
94100,baseline,FILE,4,8000.00,20000.00,0.011618,9.749,1.150,120
94251,baseline,FILE,4,8000.00,20000.00,0.011196,9.749,1.150,120
94884,baseline,FILE,4,8000.00,20000.00,0.063195,9.749,1.150,120
95017,baseline,FILE,4,8000.00,20000.00,0.080517,9.749,1.150,120
95199,baseline,FILE,4,8000.00,20000.00,0.022859,9.749,1.150,120
95717,baseline,FILE,0,0.00,200.00,0.016705,9.703,1.150,120
95717,baseline,FILE,1,200.00,800.00,0.022395,117.551,1.150,120
95717,baseline,FILE,2,800.00,3000.00,0.165075,31.243,1.150,120
95717,baseline,FILE,4,8000.00,20000.00,0.167671,9.749,1.150,120
95983,baseline,FILE,4,8000.00,20000.00,0.717151,9.749,1.150,120
96500,baseline,FILE,4,8000.00,20000.00,0.119947,9.749,1.150,120
96966,baseline,FILE,4,8000.00,20000.00,0.274281,9.749,1.150,120
97333,baseline,FILE,4,8000.00,20000.00,0.301984,9.749,1.150,120
97502,baseline,FILE,4,8000.00,20000.00,0.326484,9.749,1.150,120
97966,baseline,FILE,4,8000.00,20000.00,0.433822,9.749,1.150,120
98117,baseline,FILE,4,8000.00,20000.00,0.731497,9.749,1.150,120
98384,baseline,FILE,4,8000.00,20000.00,0.384274,9.749,1.150,120
99117,baseline,FILE,4,8000.00,20000.00,0.181304,9.749,1.150,120
99217,baseline,FILE,3,3000.00,8000.00,0.033937,70.556,1.150,120
